intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",84.8212071794
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",136.180355713
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",136.324243337
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",129.104710473
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",202.856109556
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",195.636576693
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",84.3108654635
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",136.955667576
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",137.0995552
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",129.880022336
C,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",203.631421419
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",84.4735082651
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",137.118310378
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",137.262198001
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",130.042665137
C,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",203.794064221
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",196.574531357
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",88.9076336616
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",141.552435774
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",141.696323398
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",134.476790534
C,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",208.228189617
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",201.008656754
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",89.6829455245
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",142.327747637
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",135.252102397
C,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",209.00350148
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",89.8455883261
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",142.490390439
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",142.634278062
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",135.414745198
C,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",209.166144282
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",82.0157936675
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",134.66059578
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",134.804483403
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",127.58495054
C,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",201.336349623
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",194.11681676
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",82.7911055304
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",135.435907643
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",135.579795266
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",128.360262403
C,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",202.111661486
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",194.892128622
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",82.953748332
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",135.598550445
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",135.742438068
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",128.522905204
C,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",202.274304288
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",195.054771424
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",85.73405141
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",138.378853523
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",138.522741146
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",131.303208282
C,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",205.054607366
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",197.835074502
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",86.5093632729
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",139.154165386
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",139.298053009
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",132.078520145
C,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",205.829919229
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",198.610386365
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",86.6720060745
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",139.316808187
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",132.241162947
C,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",205.99256203
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",198.773029167
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",87.1667532334
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",139.811555346
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",139.955442969
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",132.735910106
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",199.267776325
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",87.9420650963
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",140.586867209
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",133.511221969
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",88.1047078979
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",140.749510011
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",140.893397634
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",92.5388332944
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",145.183635407
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",145.32752303
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",138.107990167
C,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",211.85938925
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",93.3141451573
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",145.95894727
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",146.102834893
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",138.883302029
C,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",212.634701113
C,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",205.415168249
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",93.4767879589
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",146.121590071
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",146.265477695
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",139.045944831
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",81.7481858369
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",134.392987949
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",134.536875573
B,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",127.317342709
