tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,98.9932881258
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,98.9932881258
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,98.9932881258
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,98.9932881258
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,98.9932881258
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,99.2892654582
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,99.2892654582
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,99.2892654582
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,99.2892654582
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,99.2892654582
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,99.2892654582
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,99.2892654582
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,99.2892654582
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,99.2892654582
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,99.2892654582
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,95.8954673273
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,95.8954673273
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,95.8954673273
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,95.8954673273
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,95.8954673273
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,96.1914446596
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,96.1914446596
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,96.1914446596
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,96.1914446596
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,96.1914446596
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,96.1914446596
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,96.1914446596
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,96.1914446596
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,96.1914446596
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,96.1914446596
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,79.0139528481
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,79.0139528481
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,79.0139528481
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,79.0139528481
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,79.0139528481
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,79.3099301805
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,79.3099301805
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,79.3099301805
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,79.3099301805
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,79.3099301805
