intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",93.4443130493
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",104.477279663
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",97.7598495483
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",87.3460998535
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",91.3884048462
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",83.0585098267
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",78.7956695557
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",79.4504699707
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",83.450843811
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",71.8546981812
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",77.7821350098
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",77.1293869019
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",91.5555953979
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",95.6364517212
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",87.159942627
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",76.1752700806
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",79.0149536133
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",70.8620681763
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",80.2707061768
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",75.6418762207
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",79.0303726196
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",71.6323776245
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",77.186050415
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",70.1291732788
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",69.6097793579
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",94.1973800659
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",85.1165313721
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",68.059463501
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",87.4346923828
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",78.506980896
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",77.4333724976
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",75.6373519897
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",78.9830245972
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.5288772583
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",72.2963790894
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",80.4291305542
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",80.5015411377
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",87.4909515381
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",90.9187469482
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",75.6561965942
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",82.5996398926
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",82.1128540039
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",79.7182235718
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",81.1794433594
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",91.1525039673
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",80.2611465454
