intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",93.4443130493
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",195.134811401
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",149.85836792
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",116.513328552
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",185.206314087
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",153.888153076
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",104.477279663
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",193.702438354
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",141.229751587
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",107.350540161
C,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",172.680770874
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",97.7598495483
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",214.917678833
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",144.142578125
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",114.60308075
C,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",191.73008728
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",174.384124756
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",87.3460998535
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",190.743804932
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",147.61050415
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",128.565002441
C,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",187.800384521
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",162.351089478
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",91.3884048462
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",182.031082153
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",119.279800415
C,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",166.112670898
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",83.0585098267
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",190.965454102
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",137.54234314
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",117.925445557
C,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",190.780822754
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",78.7956695557
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",153.103118896
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",136.471450806
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",113.985160828
C,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",201.191604614
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",198.271240234
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",79.4504699707
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",153.429824829
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",133.478622437
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",106.813056946
C,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",200.16595459
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",202.865707397
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",83.450843811
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",161.124237061
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",149.828109741
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",115.692428589
C,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",221.124053955
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",219.262023926
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",71.8546981812
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",154.469390869
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",155.404327393
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",115.432144165
C,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",231.084732056
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",210.317321777
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",77.7821350098
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",166.424804688
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",163.808456421
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",122.053756714
C,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",248.159484863
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",230.975967407
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",77.1293869019
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",170.131271362
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",121.181610107
C,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",248.063232422
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",223.885177612
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",91.5555953979
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",172.083343506
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",148.742752075
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",141.981384277
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",175.189300537
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",95.6364517212
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",181.348464966
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",153.129257202
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",87.159942627
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",186.692733765
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",145.117340088
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",76.1752700806
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",165.108673096
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",145.529937744
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",155.063201904
C,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",189.778335571
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",79.0149536133
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",171.023971558
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",143.391571045
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",158.94934082
C,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",181.738388062
C,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",176.494476318
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",70.8620681763
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",165.083236694
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",141.754516602
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",139.143966675
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",80.2707061768
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",122.524841309
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",157.441802979
